timestamp,DataCount (samples),steps,duration,"ActivityCode (0=sedentary, 1= standing, 2=stepping)",CumulativeStepCount,Activity Score (MET.h),Abs(sumDiff)
01/02/2017 21:30:00,0,0,6254.4,0,0,2.171667,2519
01/02/2017 21:31:00,62544,0,0.8,1,0,3.11E-04,158
01/02/2017 21:32:00,62552,1,0.8,2,1,1.03E-03,268
